Cell_ID,Timestamp,Machine,Shift,Operator,Recipe,Batch_ID,Cell_Type,Voltage,Current,Temperature
100000,2026-01-01 08:00:00,M2,Day,OP01,R3,B001,4680-B,3.676,49.94,28.99
100001,2026-01-01 08:05:00,M4,Day,OP04,R1,B001,4680-A,3.673,47.3,31.05
100002,2026-01-01 08:10:00,M2,Day,OP10,R2,B001,4680-A,3.703,46.59,31.16
100003,2026-01-01 08:15:00,M1,Day,OP02,R1,B001,4680-A,3.666,46.6,29.09
100004,2026-01-01 08:20:00,M1,Day,OP09,R1,B001,4680-B,3.623,42.83,28.48
100005,2026-01-01 08:25:00,M4,Day,OP08,R3,B001,4680-B,3.65,48.94,26.88
100006,2026-01-01 08:30:00,M1,Day,OP03,R3,B001,4680-B,3.638,52.4,26.18
100007,2026-01-01 08:35:00,M6,Day,OP05,R1,B001,4680-A,3.682,43.73,27.55
100008,2026-01-01 08:40:00,M6,Day,OP02,R1,B001,4680-B,3.683,44.55,26.91
100009,2026-01-01 08:45:00,M2,Day,OP06,R2,B001,4680-B,3.662,47.12,28.75
100010,2026-01-01 08:50:00,M1,Day,OP12,R2,B001,4680-A,3.736,47.96,26.8
100011,2026-01-01 08:55:00,M7,Day,OP02,R3,B001,4680-B,3.705,44.34,28.88
100012,2026-01-01 09:00:00,M6,Day,OP10,R1,B001,4680-A,3.621,44.02,28.42
100013,2026-01-01 09:05:00,M1,Day,OP11,R1,B001,4680-B,3.702,48.51,28.39
100014,2026-01-01 09:10:00,M2,Day,OP04,R1,B001,4680-B,3.671,43.56,27.77
100015,2026-01-01 09:15:00,M5,Day,OP08,R3,B001,4680-B,3.666,51.17,26.56
100016,2026-01-01 09:20:00,M3,Day,OP06,R2,B001,4680-A,3.627,48.97,28.69
100017,2026-01-01 09:25:00,M5,Day,OP12,R3,B001,4680-A,3.66,49.84,27.23
100018,2026-01-01 09:30:00,M3,Day,OP09,R3,B001,4680-A,3.708,45.48,30.06
100019,2026-01-01 09:35:00,M3,Day,OP08,R2,B001,4680-B,3.69,50.93,27.38
100020,2026-01-01 09:40:00,M4,Day,OP11,R2,B001,4680-A,3.674,44.68,27.04
100021,2026-01-01 09:45:00,M4,Day,OP01,R2,B001,4680-B,3.704,52.07,25.61
100022,2026-01-01 09:50:00,M5,Day,OP02,R1,B001,4680-B,3.71,49.08,27.86
100023,2026-01-01 09:55:00,M4,Day,OP11,R2,B001,4680-B,3.691,52.61,26.71
100024,2026-01-01 10:00:00,M8,Day,OP03,R2,B001,4680-A,3.727,40.14,27.93
