Cell_ID,Machine,OCV,DCIR,Capacity,Final_Result,Defect_Type
100000,M2,3.671,16.33,27.93,PASS,None
100001,M4,3.666,17.05,27.53,PASS,None
100002,M2,3.695,16.59,27.69,PASS,None
100003,M1,3.668,17.18,27.52,PASS,None
100004,M1,3.622,17.68,27.33,PASS,None
100005,M4,3.652,19.26,26.94,PASS,None
100006,M1,3.641,17.52,27.55,PASS,None
100007,M6,3.683,15.62,27.31,PASS,None
100008,M6,3.686,19.71,27.3,PASS,None
100009,M2,3.662,16.74,27.38,PASS,None
100010,M1,3.73,17.91,27.94,PASS,None
100011,M7,3.71,18.67,28.1,PASS,None
100012,M6,3.618,18.3,27.55,PASS,None
100013,M1,3.697,19.64,27.38,PASS,None
100014,M2,3.67,18.72,27.21,PASS,None
100015,M5,3.661,16.71,27.62,PASS,None
100016,M3,3.625,21.27,27.95,PASS,None
100017,M5,3.662,18.29,27.44,FAIL,None
100018,M3,3.71,17.78,26.91,PASS,None
100019,M3,3.686,19.45,27.67,PASS,None
100020,M4,3.672,18.37,27.75,PASS,None
100021,M4,3.709,18.6,27.1,PASS,None
100022,M5,3.712,21.74,27.54,FAIL,None
100023,M4,3.701,17.59,27.61,PASS,None
100024,M8,3.733,17.52,27.48,PASS,None
100025,M4,3.689,18.17,27.3,PASS,None
100026,M7,3.613,19.61,27.75,PASS,None
100027,M4,3.728,15.74,27.4,PASS,None
100028,M2,3.665,15.05,27.13,PASS,None
100029,M3,3.661,17.12,26.99,PASS,None
100030,M7,3.71,15.55,27.82,PASS,None
100031,M5,3.673,17.36,27.65,PASS,None
100032,M5,3.691,18.75,27.52,PASS,None
100033,M5,3.634,16.66,27.39,PASS,None
100034,M1,3.66,15.86,27.37,PASS,None
100035,M3,3.734,18.1,27.23,PASS,None
100036,M4,3.679,19.29,27.39,PASS,None
100037,M1,3.68,15.46,26.97,PASS,None
100038,M1,3.688,19.23,27.32,PASS,None
100039,M4,3.718,19.23,27.42,PASS,None
100040,M2,3.648,19.43,27.65,PASS,None
100041,M3,3.708,19.83,27.49,PASS,None
100042,M3,3.654,21.3,27.7,PASS,None
100043,M4,3.63,17.47,27.84,PASS,None
100044,M5,3.696,18.16,27.76,PASS,None
100045,M8,3.66,17.38,27.62,PASS,None
100046,M4,3.642,18.0,27.5,PASS,None
100047,M1,3.632,20.3,27.25,PASS,None
100048,M4,3.705,15.98,27.68,PASS,None
100049,M4,3.695,16.71,27.92,PASS,None
100050,M2,3.697,20.07,27.59,PASS,None
100051,M8,3.693,19.53,27.98,PASS,None
100052,M8,3.698,17.46,27.12,PASS,None
